"Dept","Course num","Section num","Prof","Title","Author","ISBN","Status"
"ACEN","110C","01","SAMOKHINA","Northstar Listening Speaking 5 Interactive W/ Myenglishlab Ed: 4 Th Yr: 2015","Preiss","9780134279770","Required",
"ACEN","110C","01","SAMOKHINA","Northstar Reading & Writing Ed: 1 St","4 Th Ed","9780133382501","Required",
"ACEN","110C","01","SAMOKHINA","Northstar, Reading & Writing 5 Ed: 1 St Yr: 2009","Cohen","9780136067924","Required",
"AMS","005","01","MENDES","Statistics Ed: 4 Th Yr: 2007","Freedman","9780393929720","Required",
"AMS","005","01","MENDES","Statistics Ed: 4 Th Yr: 2007","Freedman","9780393929720","Required",
"AMS","007","01","XIFARA","Biostatistics  Loose Leaf Version Of Textbook Ed: 1 St","Ams 007","9780321628220","Pick One",
"AMS","007","01","XIFARA","Biostatistics For The Biological & Health Sciences (W/Cd) Ed: 1 St Yr: 2006","Triola","9780321194367","Pick One",
"AMS","007","01","XIFARA","Biostatistics For The Biological & Health Sciences St Sol Ma Ed: 1 St Yr: 2006","Triola","9780321286895","Optional",
"AMS","007","01","XIFARA","Biostats For Bio&Health Sci & Ssm Bun Ed: 1 St Yr: 2006","Triola","9780321502346","Pick One",
"AMS","010","___","VENTURI","Linear Algebra & Its Applications Ed: 4 Th Yr: 2012","Lay","9780321385178","Pick One",
"AMS","010","___","VENTURI","Linear Algebra & Its Applications, Loose Leaf Version 5 Th Ed Ed: 5 Th Yr: 2016","Lay","9780321982650","Pick One",
"AMS","011A","01","KATZNELSON","Intro Mathematical Analysis For Bus, Econ (Ucsc Custom) Ed: 13 Th Yr: 2011","Haeussler","9780558776961","Required",
"AMS","011B","01","KATZNELSON","Intro Mathematical Analysis For Bus, Econ (Ucsc Custom) Ed: 13 Th Yr: 2011","Haeussler","9780558776961","Required",
"AMS","020/A","01","GONG","Ucsc Custom   Elementary Differential Equations Ed: 10 Th","Boyce, Diprima","9781118898918","Required",
"AMS","080B","01","STAFF","Data Points Ed: 1 St Yr: 2013","Yau","9781118462195","Optional",
"AMS","080B","01","STAFF","Functional Art (W/Cd Only) Ed: 1 St Yr: 2013","Cairo","9780321834737","Optional",
"ANTH","002","01","KRAMER","Ethnographic Sorcery Ed: 1 St Yr: 2007","West","9780226893983","Required",
"ANTH","002","01","KRAMER","Yemen Chronicle Ed: 1 St Yr: 2005","Caton","9780809098828","Required",
"ANTH","102A","01","RETI","Human Osteology  **Print On Demand Title** Ed: 3 Rd Yr: 2012","White","9780123741349","Required",
"ANTH","103B","01","SCHRADER","Bioarchaeology Ed: 2 Nd Yr: 2015","Larsen","9780521547482","Required",
"ANTH","110D","01","SINERVO","Sex Tourism In Bahia: Ambiguous Entanglements Ed: 1 St Yr: 2013","Williams, Loraine","9780252079443","Required",
"ANTH","110D","01","SINERVO","Tourists & Tourism Ed: 2 Nd Yr: 2010","Gmelch","9781577666363","Required",
"ANTH","110F","01","SCHRADER","Eating Culture Ed: 1 St Yr: 2013","Crowther","9781442604650","Required",
"ANTH","130X","01","RAMIREZ","Indigenous Women & Feminism Ed: 1 St Yr: 2010","Suzack","9780774818087","Required",
"ANTH","130X","01","RAMIREZ","Native Hubs Ed: 1 St Yr: 2007","Ramirez","9780822340300","Required",
